#,Song,Artist,Popularity,BPM,Genres,Parent Genres,Album,Album Date,Time,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud,Key,Time Signature,Added At,Spotify Track Id,Album Label,Camelot,"Spotify Track Img","Song Preview"
100,"На повторі","BOTASHE",44,144,"ukrainian hip hop, ukrainian pop, ukrainian viral pop","Hip Hop, Pop","На повторі",2021-12-24,03:09,86,51,36,0,31,20,10,-6,C♯/D♭ Major,4,2023-11-07,4ntBxLqHGFZfjfcGnr5hF0,"Білий Бо, Шершень & Тася",3B,https://p.scdn.co/mp3-preview/934e6996a676f9d22fedd9df0171be54b062ea98?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d0000485169b49d3b0b2d434411e0f935
101,"И снова ночь","Әлиғазы Төртқара",35,130,"","","И снова ночь",2023-03-20,03:27,68,96,2,1,96,0,10,-5,C Major,4,2023-11-16,4wxAi6CU44l5eXHV73NvgU,"ARIDAI",8B,https://p.scdn.co/mp3-preview/d8470272a06ee4fa5260bbf8d250f804c3fc5c80?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d0000485158e8b14c549bc3d5bdfe235c
102,"Tramvai","AMI",43,180,"romanian pop","Pop","Tramvai",2019-09-09,03:04,47,59,24,0,39,0,10,-5,C Major,3,2023-11-17,6kz5YXPMb6kv34KXB3HRSY,"Global Records",8B,https://p.scdn.co/mp3-preview/d1e085a5c148c0f801ec9de9317fa4d214d17681?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851ed221cc179696229f7cb9ef4
103,"Сені сүйдім","Мират Қапезов",0,115,"","","Сені сүйдім",2023-11-09,03:29,70,89,9,0,90,0,10,-5,D Minor,4,2023-11-17,0y0jQCVM11PywnYSdUqgx6,"ARIDAI",7A,https://p.scdn.co/mp3-preview/d7ef3cbc3ee131ac35922b9d537c97dc3b74dd59?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851576407d9e33979967afb22d0
104,"Шынарым","Диета KZ",0,128,"","","Шынарым",2023-11-08,03:42,69,92,16,0,84,10,0,-5,A#/B♭ Minor,4,2023-11-17,3C6R5ajNqQg6XBv9U75ami,"Диета KZ PRODUCTION",3A,https://p.scdn.co/mp3-preview/88415c525330e11d6c8cf993dcf00c85d165a977?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048512d38aad8a8f41d5de6d8848f
105,"Падам падам топсың","Әлиғазы Төртқара",14,130,"","","Падам падам топсың",2023-11-05,02:53,72,99,4,0,98,0,0,-3,B Minor,4,2023-11-17,4iPcg63l9DhyoHpq24UQMg,"ARIDAI",10A,https://p.scdn.co/mp3-preview/df67ad6fa991f3c5bbe9b9a2e1f164f0facb285b?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851756dbb6bc4f5641beea0afc9
106,"Ақ жездем","Сағыныш,Нұрбек",0,106,"","","Ақ жездем",2023-02-03,03:42,79,90,15,0,96,0,30,-5,C Minor,4,2023-11-18,2KjJCSfJeVOSuWbggu53s0,"ARIDAI",5A,https://p.scdn.co/mp3-preview/d1d254f51058dd1cfb7aa51b45be9f0121748c83?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851fa3ec18fba9ffec551d741da
107,"Жайна Семей","Қаршыға Ильтан",0,125,"","","Жайна Семей",2023-09-28,03:33,75,88,4,0,89,0,10,-5,C♯/D♭ Minor,4,2023-11-18,5jYmyrRmUcfzeTNqYgJSE1,"ARIDAI",12A,https://p.scdn.co/mp3-preview/a27c320f051ba241902145ca8240205367c4a4fb?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048511c1c99502ee5b41bde55c76c
108,"Ләбідән Kz","Ерболат Ержанбаев",5,125,"","","Ләбідән Kz",2023-09-07,02:58,67,82,3,1,96,0,10,-5,F Minor,4,2023-11-18,1lXlNJL2TabNoaSkCL8AcJ,"ARIDAI",4A,https://p.scdn.co/mp3-preview/5cc4eb518ffccfd3a068da416b2f7046f318799e?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851ef6143fc0253b9ae317acd9b
109,"Ғашықпын","Нұржан Әділ",0,172,"","","Ғашықпын",2023-11-17,02:55,65,59,59,0,77,0,40,-10,B Minor,4,2023-11-18,44Wku2Kx1YKhbZL2bOCtTH,"ARIDAI",10A,https://p.scdn.co/mp3-preview/7e7cb027fbb60ec9dde20335fe3b1ad1c77c677a?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851476465994a1c8952ea06b497
110,"Cheia Inimii Mele","DJ Project,MIRA",50,176,"romanian house, romanian pop","Electronic, Pop","Cheia Inimii Mele",2021-07-08,03:10,52,66,2,0,42,10,10,-7,C Major,4,2023-11-29,7oIUOqjNbFSLBw7X2XyDW5,"Global Records",8B,https://p.scdn.co/mp3-preview/067e76cc562b1ecaf401adccacb3b375558877fd?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d0000485137cf0232a062ffb95c7fb883
