#,Song,Artist,Popularity,BPM,Genres,Parent Genres,Album,Album Date,Time,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud,Key,Time Signature,Added At,Spotify Track Id,Album Label,Camelot,"Spotify Track Img","Song Preview"
55,"Бідна пташка","Ядерна Могила",28,140,"ukrainian hip hop","Hip Hop","Пропаганда",2020-09-28,02:36,67,84,35,0,28,0,10,-5,G#/A♭ Major,4,2023-07-23,44G3KPoxuf72igY3jt3Fia,"Past Future Jam",4B,https://p.scdn.co/mp3-preview/989ab3ef22214fba9a64f338dd886bdba7a6bfc7?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851449c925356cb10b4cbe206f2
56,"Takvi kao ja","Relja",45,117,"turbo folk","Folk/Acoustic","Takvi kao ja",2019-06-23,03:37,78,66,2,0,53,10,10,-6,G Minor,4,2023-09-02,74KhFVUIGF3v3xDvzuY0yY,"IDJTunes",6A,https://p.scdn.co/mp3-preview/263e3dc172756ebd78feb4fb9fdedc6a45c548bb?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048518f3ad3d6f3acefd8604bc290
57,"Чого у сні","Твій зайчик пише",35,95,"ukrainian viral pop","Pop","Чого у сні",2023-05-26,03:21,52,69,4,0,34,0,10,-6,G Major,4,2023-09-02,6xHw8gPzCLRrcLBPsS2q4n,"PRIMAT RECORDS / Best music",9B,https://p.scdn.co/mp3-preview/0885210abdb35e16f1e67c4d3137e9b03b41cb3c?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851a4d1a3ea84491295fc11b52c
58,"Вітром","SAMCHUK",35,178,"","","Вітром",2023-05-30,02:03,52,62,21,0,62,10,30,-5,A#/B♭ Minor,4,2023-09-04,0mS8KbscoAAs5kISWCeQjI,"SAMCHUK",3A,https://p.scdn.co/mp3-preview/c9838fe691989a42fbb10c7ac8eb910d63159b61?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048512d4991a280866fbd601d83a2
59,"Ista Si Ko Sve","Cvija,MC Yankoo",40,130,"turbo folk","Folk/Acoustic","Ista Si Ko Sve",2019-02-14,02:52,80,87,0,0,64,0,20,-5,B Major,4,2023-09-04,52IpdvdAnbfh1f0l04XMG3,"IDJTunes",1B,https://p.scdn.co/mp3-preview/d401b6c00e929c6d849e56f3e524f5b6e5b3300a?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851d39e7edc24118250d39119fa
60,"Armandamyn","Turar",30,110,"","","Armandamyn",2023-03-23,03:22,80,82,17,0,94,20,0,-5,B Minor,4,2023-09-04,1P25BDbJkF02shQxmBiPwB,"Turan Media",10A,https://p.scdn.co/mp3-preview/89b7bd26b0c7dffbdad6622aaf10c36e1ea1c728?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048518fa8fc7bc0819e60072eb66b
61,"Неге, неге","Qanat Umbetov",22,106,"","","Неге, неге",2022-04-25,03:07,67,79,28,0,93,10,20,-8,C Minor,4,2023-09-04,2x4iFcEPDeWsYGxPJABzC2,"AGUGAI",5A,https://p.scdn.co/mp3-preview/ccb9a761a49d486840aefa3d58cabcde15979422?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851ad2a40f015c33e0edf6044a3
62,"Interstelar","Alexia",54,90,"romanian pop","Pop","Interstelar",2023-04-07,03:22,57,78,1,0,27,0,10,-5,C♯/D♭ Major,4,2023-09-04,47FliwS0uRIa1og7hGQ4qr,"AtoM",3B,https://p.scdn.co/mp3-preview/132aafd543baa27b13249b14e8def5e94ce29caa?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048518da174a5a172967f23a7cac6
63,"Buna, ce mai zici?","Ruby,Dorian Popa",41,172,"romanian pop, ","Pop","Buna, ce mai zici?",2015-09-29,03:05,48,67,27,0,38,10,0,-6,F#/G♭ Major,4,2023-09-06,2PMxsrSS8vEy9AXeluXxNs,"Cat Music / Mediapro Music",2B,https://p.scdn.co/mp3-preview/daf674c12f2ed34bb664e1add814d6057f63e221?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048514cf927f988402fda147ddbba
64,"Шлях","SKYLERR,Golubenko",50,120,"ukrainian pop","Pop","Шлях",2022-12-21,02:15,81,64,12,0,56,10,40,-7,G Minor,4,2023-09-06,3SlLXWuiY7rAa5KPGZTjFn,"ENKO",6A,,https://i.scdn.co/image/ab67616d00004851001b82bb63e4e27be005b18d
65,"Мрієшся","CHEEV",55,144,"ukrainian pop","Pop","Мрієшся",2022-09-30,02:37,64,63,14,0,33,0,10,-6,B Minor,4,2023-09-06,6BGf2maOpSS5aznYkv9BfR,"Secret Service Digital & Publishing LTD",10A,https://p.scdn.co/mp3-preview/6b13d155f47cdaf653fb93753d73eb223e130227?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851d2368f88270b50f3d2a070ac
66,"LONELY SUMMER","JUMEX",28,90,"emo rap","Hip Hop","LONELY SUMMER",2021-09-17,02:48,59,81,2,0,29,0,0,-3,G#/A♭ Major,4,2023-09-07,6hYwsb3IHOAtzWi3xB6e1S,"COR/TAN Records",4B,https://p.scdn.co/mp3-preview/ea1d78d7f77891b34431a4a5435f17fc327a38da?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048511005609563997e54c9444b6b
67,"Ike","Kida",36,120,"albanian pop","Pop","Orchide",2021-12-21,02:39,50,65,14,0,80,10,30,-5,G#/A♭ Minor,5,2023-09-07,2tIu7VoypMwcDairT7acnu,"Urban",1A,,https://i.scdn.co/image/ab67616d00004851a41e9e5fe612812c641263c1
68,"Аппақ көйлек","Еркебулан Кумаров",33,106,"","","Аппақ көйлек",2022-03-16,03:10,74,92,6,0,85,0,10,-5,C♯/D♭ Minor,4,2023-09-07,0c6iS5XXmR9z0uHPG3xvJO,"ARIDAI (Еркебулан Кумаров)",12A,https://p.scdn.co/mp3-preview/089e2c376587585e7f2711d2d35f765f89144e05?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048517c3e2c120505809888ad1e3a
69,"Міраж","Krizz,msblack",40,90,"","","Міраж",2023-04-07,02:17,59,51,2,0,4,0,30,-10,G#/A♭ Major,4,2023-09-07,6X8SmaTQmBWTZiEpY5uiXf,"Mars Music",4B,https://p.scdn.co/mp3-preview/e6fa010a258c62fc82fd739e698a20f571efe141?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851be4b23c68c4a1b798cbc61ab
70,"Звичка","Averin,CHURSANOV",46,128,"ukrainian pop","Pop","Звичка",2023-01-18,02:48,67,54,17,0,21,0,20,-8,G Minor,4,2023-09-10,52DRc2H1jfWAKobKO8SBQn,"Monopoly Music",6A,https://p.scdn.co/mp3-preview/2088821a074878934cb06e8d915c7c39f0e3fdf1?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851c33b60fa0a161cc6a8568791
71,"Градус 100","LOBODA",41,110,"russian pop","Pop","Made in U",2023-03-24,02:27,68,92,11,0,27,10,40,-4,D Minor,4,2023-09-13,3wEi6EHnEI7bJPAEngSsgz,"LOBODA",7A,https://p.scdn.co/mp3-preview/5165d23096a8c6845eec2bc08a1edfbf85af72b8?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048516793e024dde30b17cdedf796
72,"Эсимде","Бегиш",33,125,"central asian hip hop, kyrgyz hip hop, kyrgyz pop","Hip Hop, Pop","Эсимде",2021-03-07,02:48,77,64,51,0,73,0,10,-4,G#/A♭ Minor,4,2023-09-13,0h0jstUYcAk7ApMThCLPKL,"Infinity Music",1A,https://p.scdn.co/mp3-preview/525db5334014012f13fb48a62e20b627806b60fb?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048512c1da8f120f9ce478b8d5d66
73,"Очі","LAZANOVSKYI I RIDNYI",39,152,"ukrainian pop","Pop","Етюди",2023-03-30,02:12,64,67,48,0,26,0,20,-6,G#/A♭ Minor,4,2023-09-14,2zfkN0Dnjgaysy7F9r8MkV,"Cтудія "6 Секунд"",1A,https://p.scdn.co/mp3-preview/68a7f35d6f60e38a5b4c933f1381ff749aed396f?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048517301bab2871ccdc9430119bb
74,"А я не 3нав","Олег Дацко",0,130,"","","Олег Дацко",2014-01-01,03:27,61,90,3,0,43,0,0,-6,F#/G♭ Minor,4,2023-09-14,0XS5fy2KzXrgCSEWMMrOC8,"УМИГ",11A,https://p.scdn.co/mp3-preview/0eb91ca750c3b44cfc5068401a34763585ca02a8?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048510466ed675369f0c8a092ba0e
75,"Зіронька - Remake 2022","Діти Фрістайла",17,128,"","","Зіронька (Remake 2022)",2023-05-18,03:15,70,74,0,0,88,0,10,-7,G Minor,4,2023-09-14,0QkF51bhuCFdbL4c9pJ4Rr,"Creative Media",6A,https://p.scdn.co/mp3-preview/dcb90c2ab6087fc64f8e77bb0fd4d0ffd3bf2d6f?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048517e2adb06937e6e2b3b11beca
76,"E Keni Dit","Romeo Veshaj,Ledri Vula",61,95,"albanian pop, albanian hip hop, kosovan pop","Hip Hop, Pop","E Keni Dit",2023-06-20,02:53,83,73,6,0,54,10,20,-5,G#/A♭ Minor,4,2023-09-14,3flWOkcBio7fUkWljCyLwa,"Fole Publishing",1A,https://p.scdn.co/mp3-preview/2f808cf2d741705ddfedd1240b543dabd2db5006?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048519f09beb4c99bef1912117573
77,"Залишився сам","REQUITIR",27,122,"","","Залишився сам",2023-03-17,02:12,79,98,77,18,16,20,10,-9,A Minor,4,2023-09-17,6pdSPtz8LR3I4SXNJFdyD9,"REQUITIR MUSIC",8A,https://p.scdn.co/mp3-preview/693ebbbbfb52c08a166690e046878a1f8f13e674?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851e132e71f7b7d260de357d384
78,"Leti Leti","Funky G",11,128,"turbo folk","Folk/Acoustic","Kafana Na Balkanu",2008-00-00,04:07,65,96,4,0,86,0,30,-4,E Minor,4,2023-09-18,6GCSGzJBtaXsbVTn8uJl3R,"City Records",9A,https://p.scdn.co/mp3-preview/abc52804ad40deb7bc6bcb0b6948a7863771c305?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048514fa6aec37c23c9be7f12b709
79,"Душі","Chico,Qatoshi",37,134,"ukrainian viral pop, ukrainian hip hop","Hip Hop, Pop","Душі",2023-02-24,02:44,77,76,27,0,68,0,10,-5,G#/A♭ Minor,4,2023-09-18,1sYZ8LDC4PIOzBjgSQEgrj,"Naprocente music",1A,https://p.scdn.co/mp3-preview/addd2c4cd1ecb69634533bfa94e65a485b26c6a7?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851089f2737c097562fc3d038e9
