#,Song,Artist,Popularity,BPM,Genres,Parent Genres,Album,Album Date,Time,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud,Key,Time Signature,Added At,Spotify Track Id,Album Label,Camelot,"Spotify Track Img","Song Preview"
11,"ARASAN DA","UZI",68,106,"turkish trap","Dance/Electronic","EL CHAVO",2022-09-09,03:11,74,83,43,24,44,10,10,-7,A#/B♭ Major,4,2023-06-12,5sIHhx9IOpQ7ggv16wLsWZ,"Ava Music / Avrupa Müzik",6B,https://p.scdn.co/mp3-preview/b91a903fc3ffe4329675a3368a2d2b6322b506c5?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d0000485149fbfede365b32ce524eec19
12,"Жіберем қалай? - Speed Up Version","Duman",41,185,"kazakh pop","Pop","Жіберем қалай? (Speed Up Version)",2022-07-27,01:54,55,70,51,0,33,10,20,-7,C Minor,4,2023-06-16,2DdrLh5vCviur3lGBORR4c,"Turan Media",5A,https://p.scdn.co/mp3-preview/afa13455bf7e68e2a582907af00c2bc9a8208bd5?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d0000485125e5942e789244ffad2979ce
13,"Оп-Оңай","Марат Думан",29,130,"kazakh pop","Pop","Оп-Оңай",2020-07-09,02:56,68,49,35,0,39,0,10,-7,F#/G♭ Minor,4,2023-06-16,66CjNb1x099d4dyuudJall,"Gakku",11A,https://p.scdn.co/mp3-preview/b909bd780326b111bc2287a5070015cbeb0d7a8d?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851bf9b25bb08f598e5d55f2138
14,"Pan","Iva Sativa",39,175,"","","Pan",2020-12-11,03:43,51,92,30,0,15,0,30,-4,C♯/D♭ Minor,4,2023-06-12,6gCEsmK9LRAoqncHVJulQr,"Iva Sativa",12A,https://p.scdn.co/mp3-preview/98c77dc8de1fdb1d14321e5c6c986e905800142e?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048510fbd0fe513980f94c057505c
15,"Unu - LLP Remix","3 Sud Est,LLP",21,98,"classic romanian pop, romanian pop, ","Pop","Unu (LLP Remix)",2023-04-22,02:57,72,74,9,0,36,0,10,-8,A Minor,4,2023-06-12,2qD1baxmlnIP2FAPydFaZo,"Cat Music",8A,https://p.scdn.co/mp3-preview/7d28ffc38e6baad976f3373b59e40c7dab2c818c?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048515debc9445ae0c2951fc0ecdc
16,"Ne Iubim","Iuliana Beregoi",41,120,"romanian pop","Pop","Dor De Voi",2021-04-30,02:54,69,65,16,0,47,0,20,-8,A#/B♭ Major,4,2023-06-13,4dY7bOGqPLIt55rYS9iZDz,"Mixton Music",6B,https://p.scdn.co/mp3-preview/5624b4afda76ee4106af3979027113008bb01e8b?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851a42c3e92f4036bfba351a138
17,"Mea Culpa (Portuguese)","Catarina Pereira",13,123,"","","Mea Culpa",2014-03-16,02:59,62,96,8,0,64,10,50,-3,A Major,4,2023-06-21,1E6GwDezk1Gua2TlHmSaKt,"ABC Productions",11B,https://p.scdn.co/mp3-preview/1c5be285c279181a550ec062bd611107f41bb2b9?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851ab8faea4f09c2ab3143a7938
18,"De neinlocuit","Elena",16,118,"","","De neinlocuit",2014-04-04,03:27,76,90,2,0,92,0,10,-5,C♯/D♭ Minor,4,2023-06-21,6IKtniqDUoKGMLVz8WMRUT,"2014 Cat Music",12A,https://p.scdn.co/mp3-preview/b596dbf5c399ecba6b381a9003b073dfaec7f1b0?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851511acf60d76122bebbf2556b
19,"2 полюси","YULIYA ROZNEN",25,115,"ukrainian pop","Pop","2 полюси",2019-05-31,03:26,72,90,21,0,43,0,10,-4,D Major,4,2023-06-21,73pCLhW9cDEIHLsqLKjhiI,"YULIYA RÓZNEN",10B,https://p.scdn.co/mp3-preview/73e192470c0f6e3e1daa427cb7fd15e78d0c18fd?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851fecb32e2623aa182e53536ac
20,"Film","Jala Brat",31,78,"balkan hip hop, turbo folk","Hip Hop, World/Traditional","Film",2021-09-14,02:45,76,78,4,0,74,10,10,-6,G#/A♭ Minor,4,2023-06-22,0bLVelUaQJdiWExsfekCQ7,"IMPERIA by EMDC Network",1A,https://p.scdn.co/mp3-preview/c560b2064b1d5b9f640b9dbecea649da02d90c90?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851df09cf82338e5942a8888e01
